URL,File Size,Number of Outlink,Content Type
https://www.nytimes.com/2018/07/16/podcasts/the-daily/how-do-i-listen-to-the-daily.html,210702,44,text/html
https://www.nytimes.com/2021/09/03/podcasts/the-daily/texas-abortion-law-supreme-court-roe-v-wade.html?action=click&module=audio-series-bar&region=header&pgtype=article,793447,89,text/html
https://www.nytimes.com/interactive/2021/us/perry-kentucky-covid-cases.html,2093217,200,text/html
https://www.nytimes.com/interactive/2021/us/lewis-west-virginia-covid-cases.html,1782022,200,text/html
https://www.nytimes.com/interactive/2021/us/braxton-west-virginia-covid-cases.html,1804465,199,text/html
https://www.nytimes.com/interactive/2021/us/russell-kentucky-covid-cases.html,2102550,199,text/html
https://www.nytimes.com/interactive/2021/us/andrews-texas-covid-cases.html,1096231,199,text/html
https://www.nytimes.com/interactive/2021/us/powell-kentucky-covid-cases.html,2097339,199,text/html
https://www.nytimes.com/interactive/2021/us/rockcastle-kentucky-covid-cases.html,2099771,200,text/html
https://www.nytimes.com/interactive/2021/us/knox-kentucky-covid-cases.html,2108324,200,text/html
https://www.nytimes.com/interactive/2021/us/whitley-kentucky-covid-cases.html,2099139,200,text/html
https://www.nytimes.com/2021/09/02/opinion/newsom-elder-california-recall.html,464197,61,text/html
https://www.nytimes.com/by/ezra-klein,294029,55,text/html
https://www.nytimes.com/2007/09/15/business/15atlas.html,330721,39,text/html
https://www.nytimes.com/wirecutter/reviews/best-cornhole-bags-boards/,294154,238,text/html
https://www.nytimes.com/wirecutter/reviews/best-nonstick-pan/,440407,291,text/html
https://www.nytimes.com/wirecutter/reviews/best-wine-glass/,461331,328,text/html
https://www.nytimes.com/wirecutter/contact-details/,78688,176,text/html
https://www.nytimes.com/wirecutter/reviews/best-hair-clippers-for-home-use/,431424,269,text/html
https://www.nytimes.com/wirecutter/blog/why-you-should-read-past-wirecutter-picks/,158359,235,text/html
https://www.nytimes.com/wirecutter/blog/safe-online-shopping/,132696,210,text/html
https://www.nytimes.com/wirecutter/blog/picks-best-value/,121621,207,text/html
https://www.nytimes.com/wirecutter/reviews/best-sewing-machine/,369348,278,text/html
https://www.nytimes.com/wirecutter/lists/recommended-tvs/,182557,235,text/html
https://www.nytimes.com/wirecutter/money/how-wirecutter-finds-deals/,154872,201,text/html
https://www.nytimes.com/wirecutter/reviews/best-treadmill/,378282,265,text/html
https://www.nytimes.com/live/2021/02/24/world/covid-19-coronavirus/pfizer-vaccine-effective-israel,1501515,187,text/html
https://www.nytimes.com/2021/06/08/business/rv-technology-remote.html,422859,45,text/html
https://www.nytimes.com/international/section/business/economy,623421,65,text/html
https://www.nytimes.com/2021/05/18/arts/comic-book-technology-superhero.html,406737,46,text/html
https://www.nytimes.com/interactive/2021/09/17/business/normal-illinois-rivian-revival.html,215700,46,text/html
https://www.nytimes.com/2021/05/25/technology/cloud-computing-simulations-startups.html,375369,52,text/html
https://www.nytimes.com/2021/09/18/business/smallbusiness/small-business-vaccine-mandate-threshold.html,377020,73,text/html
https://www.nytimes.com/spotlight/currents,608634,78,text/html
https://www.nytimes.com/newsletters/regilite/button?product=ot&theme=transparent&landing=true&addslot=true&app=newsletter&sourceapp=nyt-v5&title=ontech,1385,3,text/html
https://www.nytimes.com/newsletters/regilite/button?product=my&theme=transparent&landing=true&addslot=true&app=newsletter&sourceapp=nyt-v5&title=yourmoney,1385,3,text/html
https://www.nytimes.com/2021/09/08/business/remote-office-co-workers-working-from-home.html,448229,52,text/html
https://www.nytimes.com/2021/05/11/business/remote-work-tax-apps.html,359604,45,text/html
https://www.nytimes.com/international/section/business/dealbook,843225,105,text/html
https://www.nytimes.com/2021/09/17/arts/design/yves-bouvier-dmitry-rybolovlev-geneva.html,336965,46,text/html
https://www.nytimes.com/spotlight/editors-picks-business,2215724,71,text/html
https://www.nytimes.com/2021/09/19/business/trump-election-prophecy-charisma-media.html,441070,55,text/html
https://www.nytimes.com/2021/09/18/business/biden-spending-bill.html,455982,56,text/html
https://www.nytimes.com/newsletters/regilite/button?product=dk&theme=transparent&landing=true&addslot=true&app=newsletter&sourceapp=nyt-v5&title=dealbook,1385,3,text/html
https://www.nytimes.com/2021/09/01/health/texas-abortion-law-facts.html,413445,58,text/html
https://www.nytimes.com/2021/09/14/us/politics/texas-abortion-justice-department.html,348444,57,text/html
https://www.nytimes.com/2021/09/09/us/politics/texas-abortion-law-justice-department-lawsuit.html,409124,61,text/html
https://www.nytimes.com/by/michael-levenson,298636,53,text/html
https://www.nytimes.com/2021/09/02/us/politics/biden-abortion-texas-law.html,344630,57,text/html
https://www.nytimes.com/2021/07/09/us/abortion-law-regulations-texas.html?action=click&pgtype=article&state=default&module=styln-texas-abortion&variant=show&region=main_content_3&block=storyline_levelup_swipe_recirc,401018,61,text/html
https://www.nytimes.com/2021/09/01/us/supreme-court-texas-abortion.html,561477,73,text/html
https://www.nytimes.com/2021/07/09/us/abortion-law-regulations-texas.html,401018,61,text/html
https://www.nytimes.com/2021/09/01/us/supreme-court-texas-abortion.html?action=click&pgtype=article&state=default&module=styln-texas-abortion&variant=show&region=main_content_3&block=storyline_levelup_swipe_recirc,561461,73,text/html
https://www.nytimes.com/2021/09/07/t-magazine/carla-sozzani-home-design.html,350845,45,text/html
https://www.nytimes.com/2021/09/06/t-magazine/parties-twenties-pandemic-quarantine.html,386592,47,text/html
https://www.nytimes.com/2021/09/07/t-magazine/tangier-morocco-home-design.html,398192,46,text/html
https://www.nytimes.com/2021/09/10/t-magazine/incense-loss-smell.html,343140,49,text/html
https://www.nytimes.com/2021/09/08/t-magazine/trancoso-brazil-home-design.html,423202,48,text/html
https://www.nytimes.com/2021/08/31/t-magazine/salad-nicoise-recipe-cooking.html,437215,47,text/html
https://www.nytimes.com/issue/t-magazine/2021/02/05/ts-feb-21-womens-fashion-issue,490267,76,text/html
https://www.nytimes.com/2021/09/09/t-magazine/giancarlo-valle-design.html,382808,47,text/html
https://www.nytimes.com/2021/09/02/t-magazine/cheval-blanc-paris-dolce-casa.html,434065,80,text/html
https://www.nytimes.com/ca/section/t-magazine/fashion,666666,101,text/html
https://www.nytimes.com/ca/section/t-magazine/design,606329,101,text/html
https://www.nytimes.com/2021/09/06/t-magazine/wild-party-roaring-twenties.html,619051,71,text/html
https://www.nytimes.com/2021/09/09/t-magazine/green-watches-fall-fashion.html,302134,45,text/html
https://www.nytimes.com/interactive/2020/t-magazine/past-issues.html,377979,302,text/html
https://www.nytimes.com/2021/09/09/t-magazine/fall-fashion-pastoral-gothic-americana.html,336806,61,text/html
https://www.nytimes.com/2021/09/07/t-magazine/burgundy-shoes-bags.html,356205,48,text/html
https://www.nytimes.com/newsletters/t-list,91296,36,text/html
https://www.nytimes.com/2021/09/10/t-magazine/incense-guide.html,391248,62,text/html
https://www.nytimes.com/2021/09/10/t-magazine/louis-vuitton-travel-case.html,271093,43,text/html
https://www.nytimes.com/issue/t-magazine/2021/03/14/ts-march-28-design-issue,436262,74,text/html
