time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-09-20T00:41:37Z,161,0,0,0,0,0,17372948,1467,14227059,0,0,0,0,0,0,58607,0,0,0,0,0,0,0,791,14,0,214,1,6,24564,0,0,0,0,0, ,0,0,0,0,0,0,58570,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,137,67,210,112200552,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,52041,0,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:42:37Z,161,0,0,0,0,0,18434308,1467,15288419,0,0,0,0,0,0,77901,0,0,0,0,0,0,0,847,16,0,205,1,6,38220,0,0,0,0,0, ,0,0,0,0,0,0,77870,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,169,94,277,262236480,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,71809,0,5921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:43:37Z,161,0,0,0,0,0,19270540,1467,16124651,0,0,0,0,0,0,74818,0,0,0,0,0,0,0,886,16,0,197,1,6,36438,0,0,0,0,0, ,0,0,0,0,0,0,74794,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,269,50,382,437023040,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,450,0,18,0,900,0,0,0,0,0,0,0,0,0,0,69744,0,4945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:44:37Z,161,0,0,0,0,0,20340580,1467,17194691,0,0,0,0,0,0,80317,0,0,0,0,0,0,0,946,16,0,188,1,6,38595,0,0,0,0,0, ,0,0,0,0,0,0,80279,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,22,209,510417296,2,0,0,0,0,0,0,0,0,0,0,3,0,9,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,74000,0,6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:45:37Z,161,0,0,0,0,0,21627948,1467,18482059,0,0,0,0,0,0,67379,0,0,0,0,0,0,0,1027,17,0,178,1,6,27057,0,0,0,0,0, ,0,0,0,0,0,0,67347,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,73,432011424,2,0,0,0,0,0,0,0,0,0,0,2,0,10,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,59241,0,7939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:46:37Z,161,0,0,0,0,0,22474580,1467,19328691,0,0,0,0,0,0,51504,0,0,0,0,0,0,0,1070,17,0,170,1,6,20682,0,0,0,0,0, ,0,0,0,0,0,0,51478,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,76,300150368,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,400,0,16,0,800,0,0,0,0,0,0,0,0,0,0,46052,0,5317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:47:37Z,161,0,0,0,0,0,23424012,1467,20278123,0,0,0,0,0,0,48580,0,0,0,0,0,0,0,1137,17,0,158,1,6,17281,0,0,0,0,0, ,0,0,0,0,0,0,48537,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,94,280317384,2,0,0,0,0,0,0,0,0,0,0,1,0,11,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,41970,0,6387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:48:37Z,161,0,0,0,0,0,23923404,1467,20777515,0,0,0,0,0,0,41920,0,0,0,0,0,0,0,1162,17,0,151,1,6,17456,0,0,0,0,0, ,0,0,0,0,0,0,41892,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,169,271492272,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,450,0,18,0,900,0,0,0,0,0,0,0,0,0,0,38752,0,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:49:37Z,161,0,0,0,0,0,24556180,1467,21410291,0,0,0,0,0,0,38697,0,0,0,0,0,0,0,1202,17,0,140,1,6,15118,0,0,0,0,0, ,0,0,0,0,0,0,38652,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,151,361464184,2,0,0,0,0,0,0,0,0,0,0,1,0,11,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,34030,0,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-20T00:50:37Z,161,0,0,0,0,0,25416284,1467,22270395,0,0,0,0,0,0,39984,0,0,0,0,0,0,0,1256,18,0,134,1,6,14483,0,0,0,0,0, ,0,0,0,0,0,0,39954,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632097896782,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,41,109,265994160,2,0,0,0,0,0,0,0,0,0,0,3,0,6,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,34318,0,5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
